"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
23.4,109.673871590901,-34.0930059121891,-75.5808656787116
23.6,110.695120749512,-24.1555038623365,-86.5396168871758
23.8,110.295295403145,-15.6396978320187,-94.6555975711261
24,108.712693165506,-7.99495882303993,-100.717734342466
24.2,106.81078207809,-2.53852148084649,-104.272260597244
24.4,105.05868469908,0.797684530681892,-105.856369229762
24.6,104.028836231989,1.67641719376835,-105.705253425757
24.8,99.1557292948993,6.31723002880237,-105.472959323702
25,90.5340789063933,14.6973428704977,-105.231421776891
25.2,79.1074369086943,24.5794921888969,-103.686929097591
25.4,65.8638314708554,34.4217459189992,-100.285577389855
25.6,51.3030520257701,43.8111901495706,-95.1142421753407
25.8,35.5819401128042,52.8295777894419,-88.4115179022461
26,19.6231075027272,60.6015841350648,-80.2246916377921
26.2,3.77658625322206,66.8208283533361,-70.5974146065582
26.4,-12.0853433379735,71.7204309145056,-59.635087576532
26.6,-27.8546411126062,75.2619342369291,-47.4072931243229
26.7999999999999,-43.353737087883,77.3242547791619,-33.9705176912789
26.9999999999999,-58.1542490142129,77.7046517935325,-19.5504027793196
27.1999999999999,-71.9649522406299,76.301294598999,-4.33634235836912
27.3999999999999,-84.5092931349962,73.1915506981482,11.317742436848
27.5999999999999,-95.401968711892,68.3624953489981,27.0394733628939
27.7999999999999,-104.492615309666,61.9633573860503,42.5292579236158
27.9999999999999,-111.514765013175,54.1151986285934,57.3995663845816
28.1999999999999,-116.601145806358,44.9882042437289,71.6129415626291
28.3999999999999,-119.50521169689,35.1159240427397,84.3892876541499
28.5999999999999,-120.426293816157,25.5268224957795,94.8994713203773
28.7999999999999,-120.205655742057,17.1338549243449,103.071800817712
28.9999999999999,-118.836127700222,9.57233515384952,109.263792546372
29.1999999999999,-117.093393447539,3.77602924117551,113.317364206364
29.3999999999999,-115.085571289782,-0.359584237802802,115.445155527585
29.5999999999999,-114.035112748269,-1.58935100676338,115.624463755032
29.7999999999999,-109.27124865889,-6.25038206251217,115.521630721402
30,-101.021059110367,-14.450598451142,115.471657561509
