"Time [ms]","FluxLinkage(PhaseA) []","FluxLinkage(PhaseB) []","FluxLinkage(PhaseC) []"
26,0.313601119790474,0.227921697893986,-0.226295676393636
26.2,0.280599886871242,0.274439148593047,-0.227661208176057
26.4,0.243341780247116,0.317023847564467,-0.224744574847453
26.6,0.202558758552339,0.355151859442031,-0.217464814199728
26.7999999999999,0.159122719532695,0.388455063168786,-0.205732705158654
26.9999999999999,0.11351698177523,0.41622682601212,-0.189949204663999
27.1999999999999,0.0661767205211419,0.437769405427267,-0.170662218555628
27.3999999999999,0.0178674362538008,0.452785198817058,-0.148164400345561
27.5999999999999,-0.0305963461631326,0.461124355922467,-0.12275273967408
27.7999999999999,-0.0781286938332593,0.463005095863923,-0.0945023575261942
27.9999999999999,-0.124016115035508,0.458395076992221,-0.0638792764552616
28.1999999999999,-0.167733885568409,0.447187765902837,-0.0315715034058232
28.3999999999999,-0.208653082336839,0.429511457767576,0.00188047542510331
28.5999999999999,-0.247337612477956,0.404399776430033,0.0347807061442709
28.7999999999999,-0.284924519017814,0.370402603934093,0.0648586979865063
28.9999999999999,-0.319414284613252,0.329399327999462,0.0930287302853929
29.1999999999999,-0.351267674731636,0.280894493833343,0.117796640640333
29.3999999999999,-0.378908529837937,0.226607096072009,0.139790049014677
29.5999999999999,-0.401506583795724,0.167561384117028,0.158950214880198
29.7999999999999,-0.413067399510382,0.110611002750683,0.180650751255404
30,-0.416777837025204,0.0534825590627636,0.201172295155227
